#,Year,Sport,Name of Athlete,Event,Country Represented,What She Would Have Won,Links
1,2024,Cycling,Sarah Flamm,"Tucson Bicycle Classic, Oro Valley Circuit Race, Women's Cat 3",USA,First Place,[1]
2,2024,Cycling,Annie Gilbert,"Tucson Bicycle Classic, Oro Valley Circuit Race, Women's Cat 3",USA,Second Place,[1]
3,2024,Cycling,Katja Verkerk,"Tucson Bicycle Classic, Oro Valley Circuit Race, Women's Cat 3",Canada,Third Place,[1]
4,2024,Golf,Maria Bohorquez,"NXXT Women's Classic, Mission Inn Resort and Club, Florida, NXXT Women's Golf Tour Rankings, 17 January",Colombia,First Place (and likely Epson tour card),[1]
5,2024,Golf,Lauren Miller,"NXXT Women's Classic, Mission Inn Resort and Club, Florida, NXXT Women's Golf Tour Rankings, 17 January",USA,Second Place,[1]
6,2024,Golf,Yue Zhang,"NXXT Women's Classic, Mission Inn Resort and Club, Florida, NXXT Women's Golf Tour Rankings, 17 January",China,Third Place,[1]
7,2024,Nordic Skiing,Rowan Tanguay,"Maine Principals Association Class C Girls’ Nordic Skiing State Championship, Five-kilometer Girls’ Classical, Farmington, ME, 19-20 February",USA,Third Place,"[1],[2]"
8,2024,Nordic Skiing,Ruth White,"Maine Principals Association Class C Girls’ Nordic Skiing State Championship, Freestyle, Farmington, ME, 19-20 February",USA,Third Place,"[1],[2]"
9,2024,Nordic Skiing,Ruth White,"Maine Principals Association Class C Girls’ Nordic Skiing State Championship, Pursuit, Farmington, ME, 19-20 February",USA,Third Place,"[1],[2]"
10,2024,Track and Field,Savanna Corneau,"NHIAA Indoor Div 2 State Championship, High Jump, NH, 11 February",USA,"First Place, Gold","[1],[2]"
11,2024,Track and Field,Amelia Lefebvre,"NHIAA Indoor Div 2 State Championship, High Jump, NH, 11 February",USA,Second Place,"[1],[2]"
12,2024,Track and Field,Eshaya Lauder,"NHIAA Indoor Div 2 State Championship, High Jump, NH, 11 February",USA,Third Place,"[1],[2]"
13,2023,Boxing,Katia Bissonnette,Provincial Golden Glove Championship,Canada,Withdrew in protest,[1]
14,2023,Croquet,Rachel Gee,"Women's Golf Croquet World Championship, Sussex County Croquet Club, 14 August",England,World Champion,[1]
15,2023,Cross Country,Laia Montoya,"13th La Cursa de NaDalt, Women's Category, Sant Pere de Torello, Catalonia, Spain, 26 December",Spain,First Place,[1]
16,2023,Cycling,Jennifer Darmody,"Randall's Island Crit, Cycling, Women's, New York City, 18 March",USA,First Place,
17,2023,Cycling,Mary Farner,"Randall's Island Crit, Cycling, Women's, New York City, 18 March",USA,Second Place,
18,2023,Cycling,Yareim Gutierrez,"Activa Mexico Cycling Series, Fecha 6/Pro 1 Womens, Autodromo Hermanos Rodriguez, Mexico City, Mexico, 8 July",Mexico,First Place,[1]
